Position,Name,Developer,Release Date
1,The Legend of Zelda: Tears of the Kingdom,Nintendo,12 March 2023
2,Super Mario Odyssey,Nintendo,27 October 2017
3,Super Smash Bros. Ultimate,Nintendo,7 December 2018
4,Hades,Supergiant Games,17 September 2020
5,Fire Emblem: Three Houses,Intelligent Systems,26 July 2019
6,Mario Kart 8 Deluxe,Nintendo,28 April 2017
7,Metroid Dread,Mercury Steam,8 October 2021
8,Xenoblade Chronicles 3,Monolith Soft,29 July 2022
9,The Legend of Zelda: Breath of the wild,Nintendo, 3 March 2017
10,Metroid Prime Remastered,Retro Studios | Nintendo, 8 February 2022
11,Link's Awakening,Nintendo | Grezzo,20 September 2019
12,Hollow Knight,Team Cherry,24 February 2017
13,Octopath Traveler 2,ConcernedApe, 24 February 2023
14,Monster Hunter Rise,Capcom,26 March 2021
15,Animal Crossing: New Horizons,Nintendo,20 March 2020
16,Slay the Spire,MegaCrit LLC,23 January 2023
17,Stardew Valley,ConcernedApe,5 October 2017
18,Xenoblade Chronicles: Definitive Edition,Monolith Soft,29 May 2020
19,Celeste,Extremely OK Games,25 January 2018
20,Fire Emblem Engage,Intelligent Systems,20 January 2023
21,Splatoon 3,Nintendo,9 September 2022
22,Luigi's Mansion 3,Next level Games,31 October 2019
23,Super Mario 3D World + Bowser's Fury,Nintendo,12 February 2021
24,Mario + Rabbids: Sparks of Hope, Ubisoft,20 October 2022
25,Advanced Wars 1+2 Re-BootCamp,Wayforward | Nintendo,21 April 2023